"filename", "language", "C++", "comment", "blank", "total"
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/Aov.hpp", "C++", 30, 25, 9, 64
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/ChannelBuffer.hpp", "C++", 56, 2, 23, 81
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/ChannelInfo.hpp", "C++", 30, 1, 10, 41
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/DMXImage.hpp", "C++", 65, 1, 22, 88
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/DenoiserParams.hpp", "C++", 23, 0, 7, 30
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/Filter.hpp", "C++", 20, 1, 7, 28
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/FilterFactory.hpp", "C++", 50, 11, 13, 74
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/ImageIO.hpp", "C++", 98, 2, 25, 125
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/ImageIOFactory.hpp", "C++", 11, 0, 6, 17
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/LayerDictionary.hpp", "C++", 37, 1, 10, 48
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/LayerInfo.hpp", "C++", 60, 1, 14, 75
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/ParamDictionary.hpp", "C++", 70, 5, 12, 87
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/Pixel.hpp", "C++", 58, 1, 14, 73
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/PixelType.hpp", "C++", 84, 5, 13, 102
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/StringConversions.hpp", "C++", 30, 5, 7, 42
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/filters/ExampleFilter.hpp", "C++", 22, 2, 10, 34
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/util/AlwaysFalse.hpp", "C++", 8, 1, 4, 13
"/Users/dmitryginzburg/Development/denoise-machine-x/include/dmxdenoiser/util/FloatsEqual.hpp", "C++", 10, 1, 5, 16
"Total", "-", 762, 65, 211, 1038